ID,Key,Name,Track Record,Expressed Capability,True Capability,Lapsed Capability,Potential Capability,No Capability,Longitude,Latitude
83,RGU,Robert Gordon University,0,0,0,0,0,1,-2.1452495,57.1180675
84,ROE,Roehampton University,0,0,0,0,0,1,-0.2468033,51.4553119
85,RHU,"Royal Holloway, University of London",1,1,1,0,0,0,-0.5671221,51.4253246
86,SAL,University of Salford,0,0,0,0,0,1,-2.2713075,53.4833769
87,SHE,University of Sheffield,0,1,0,1,0,0,-1.4888948,53.3816826
88,SHU,Sheffield Hallam University,0,0,0,0,0,1,-1.4652554,53.3791942
89,SOL,Solent University,0,0,0,0,0,1,-1.4001658,50.9077473
90,USW,Univesity of South Wales,0,1,0,1,0,0,-3.3263,51.588664
91,SOU,University of Southampton,1,0,0,0,1,0,-1.3956847,50.934189
92,STA,University of St Andrews,0,0,0,0,0,1,-2.793626,56.341382
93,STI,Univsity of Stirling,0,0,0,0,0,1,-3.9204755,56.1453043
94,STR,University of Strathclyde,0,0,0,0,0,1,-4.2452295,55.8612977
95,STA,Staffordshire University,0,0,0,0,0,1,-2.1803573,53.0093298
96,SUF,University of Suffolk,0,0,0,0,0,1,1.1628059,52.0524891
97,SUN,University of Sunderland,0,0,0,0,0,1,-1.3914797,54.9047206
98,SUR,University of Surrey,0,1,0,1,0,0,-0.5880721,51.2440379
99,SUS,University of Sussex,0,0,0,0,0,1,-0.0872886,50.8646237
100,SWA,Swansea University,1,1,1,0,0,0,-3.980856,51.6088317
101,TEE,Teeside University,1,1,1,0,0,0,-1.2369515,54.5704654
102,ULS,Ulster University,0,0,0,0,0,1,-1.8985158,52.4762241
103,UWT,"University of Wales, Trinity Saint David",0,0,0,0,0,1,-4.0761851,52.1139511
104,WAR,University of Warwick,1,0,0,0,1,0,-1.5649432,52.3860241
105,UWE,University of West England,0,0,0,0,0,1,-2.5495752,51.5014941
106,UWS,University of the West of Scotland,0,0,0,0,0,1,-3.5881724,55.0492939
107,UWL,University of West London,0,0,0,0,0,1,-0.3030995,51.5072257
108,WES,University of Westminster,0,0,0,0,0,1,-0.1433666,51.516792
109,WIN,University of Winchester,0,0,0,0,0,1,-1.3277627,51.0599221
110,WOL,University of Wolverhampton,0,0,0,0,0,1,-2.1284204,52.5878478
111,WOR,University of Worcester,0,0,0,0,0,1,-2.2421521,52.1975281
112,WGU,Wrexham Glyndwr University,0,0,0,0,0,1,-3.0057786,53.0533626
113,YOR,University of York,1,0,0,0,1,0,-1.0533357,53.9485295
114,YSJ,York St John University,0,1,0,1,0,0,-1.0801422,53.9652903
